crime_code,victim_age,victim_sex,serious_crime,weapon_0,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6,weapon_7,weapon_8,weapon_9,premise_0,premise_1,premise_2,premise_3,premise_4,premise_5,premise_6,premise_7,premise_8,premise_9,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_8,area_9,norm_distance,norm_angle,victim_descent_A,victim_descent_B,victim_descent_H,victim_descent_O,victim_descent_W
0,0.18556701030927836,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.34409406977413753,0.2863389833775144,0,1,0,0,0
0,0.4948453608247423,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.45544270177268487,0.2943222367953323,0,0,1,0,0
0,0.24742268041237114,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7131602880700657,0.3198672846853146,0,1,0,0,0
0,0.31958762886597936,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4794420537379791,0.306109107711349,0,0,1,0,0
0,0.4020618556701031,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24295163197251712,0.2764644275047519,0,1,0,0,0
0,0.3402061855670103,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19968383255101757,0.30381498163425524,0,0,1,0,0
0,0.3711340206185567,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.48236491704789297,0.31227594159430844,0,0,1,0,0
0,0.35051546391752575,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.17041347341330923,0.30605959508227437,0,0,1,0,0
0,0.4639175257731959,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2554030613337683,0.2732728347132225,0,0,1,0,0
0,0.29896907216494845,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3404860094809019,0.30786791868823327,0,1,0,0,0
0,0.2268041237113402,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.29139194332196605,0.29832076499356264,0,0,1,0,0
0,0.26804123711340205,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7883569926882938,0.317466405421589,0,1,0,0,0
0,0.20618556701030927,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3074882655997823,0.3124755247665706,0,0,1,0,0
0,0.5257731958762887,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.40939230017077555,0.2851887498172071,0,0,1,0,0
0,0.5876288659793815,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5533174089867684,0.3075694248920523,1,0,0,0,0
0,0.21649484536082475,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5653908223639283,0.3189621921247916,0,0,1,0,0
0,0.6907216494845361,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5341074495162438,0.28846238899434157,0,0,0,0,1
0,0.26804123711340205,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07860559716978659,0.26572667647187087,0,1,0,0,0
0,0.6701030927835051,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24283884612585957,0.30913339134636125,0,0,0,0,1
0,0.26804123711340205,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3235420631444726,0.31698141073395364,0,1,0,0,0
0,0.21649484536082475,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3214751633874383,0.2829040183510998,0,1,0,0,0
0,0.41237113402061853,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.30015597918446735,0.2997313219516715,0,0,1,0,0
0,0.3917525773195876,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.21456347268616577,0.3039604134750157,0,1,0,0,0
0,0.36082474226804123,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3679648024515503,0.28592404416134726,0,0,1,0,0
0,0.6391752577319587,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.36554716572787976,0.3123266348430438,0,0,1,0,0
0,0.29896907216494845,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2588674216907756,0.26492391409398336,0,0,1,0,0
0,0.3917525773195876,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4832602354541969,0.19362270363173664,0,0,1,0,0
0,0.21649484536082475,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3697181869994368,0.3121493932915041,0,0,0,0,1
0,0.23711340206185566,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.45118740966660714,0.2845499792569496,0,1,0,0,0
0,0.5154639175257731,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20362663645069576,0.27003267448656226,0,1,0,0,0
0,0.21649484536082475,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03060828872742155,0.2665751119893301,0,0,1,0,0
0,0.24742268041237114,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.31461283122841405,0.30469988479720383,0,0,1,0,0
0,0.31958762886597936,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.30104332150728264,0.3101660905225148,0,1,0,0,0
0,0.25773195876288657,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7407009155339352,0.32045473786861783,0,1,0,0,0
0,0.23711340206185566,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24500444229754362,0.26927199087790404,0,1,0,0,0
0,0.38144329896907214,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24215457296120657,0.28260331898421526,0,0,1,0,0
0,0.44329896907216493,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2669096440341916,0.3076205734004591,0,0,1,0,0
