crime_code,crime_description
5,BATTERY - SIMPLE ASSAULT
9,CRIMINAL THREATS - NO WEAPON DISPLAYED
7,INTIMATE PARTNER - SIMPLE ASSAULT
2,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
8,BRANDISH WEAPON
3,INTIMATE PARTNER - AGGRAVATED ASSAULT
0,ROBBERY
6,OTHER ASSAULT
1,ATTEMPTED ROBBERY
4,BURGLARY
